Test Name,Type (Parametric/Non-parametric),Background,When to Use,Assumptions,Data Types Required,Recommend Sample Size,Test Statistic,How to interpret results,Skill Level,Counterpart
Anderson-Darling Test (Normality),Non-parametric,"Introduced by T.W. Anderson and D.A. Darling in the 1950s, it's an EDF (empirical distribution function) test that refines the Kolmogorov-Smirnov approach by emphasizing tail differences:contentReference[oaicite:26]{index=26}.",To test if data come from a specified distribution (commonly used for normality testing in Six Sigma tools like Minitab).,Assumes a continuous distribution for the test’s null hypothesis; requires independent samples. It uses the known form of the target distribution in calculating a more sensitive test statistic (so critical values are specific to that distribution):contentReference[oaicite:27]{index=27}.,"Continuous data for a single variable, often used to test normality or other distributions (Weibull, exponential, etc.).","A moderate sample is needed for stable results (say 8 < n < 5000). Very small samples have little power; very large samples will flag even minor deviations as significant, so context is needed in interpretation:contentReference[oaicite:28]{index=28}.",Test statistic A² is computed from the cumulative differences between empirical and theoretical distribution; larger A² indicates more deviation. Critical values depend on the distribution tested and sample size.,"If p < α, reject H₀ (sample is unlikely from the specified distribution); if p ≥ α, no significant evidence against the distribution fit.","Green / Black Belt (commonly part of normality checks in software output; Green Belts encounter it via tools, Black Belts understand its nuances).","Shapiro-Wilk Test (alternative normality test, especially for smaller samples):contentReference[oaicite:29]{index=29}."
F-Test (Two-Sample Variance),Parametric,"A classical test for homogeneity of two variances, dating back to early analysis of variance development (F-distribution named after Fisher). Sensitive to normality assumption, it has largely been supplanted by more robust tests for general use.","To determine if two independent samples have equal variances (H₀: σ₁² = σ₂²), often as a preliminary check before a two-sample t-test or as a standalone test of variability.","Assumes both samples are drawn from normal populations and that samples are independent. Even mild departures from normality can affect its validity, making it less robust.",Numeric continuous measurements from two independent groups.,"Each sample ideally n ≥ 20 (to better approximate normal and to have reasonable power). Very small samples make the test unreliable, and non-normal data can invalidate results; if normality is suspect, use Levene’s test instead.","Test statistic F = s₁²/s₂² (ratio of sample variances). Under H₀ and normality, F follows an F-distribution (df1=n₁-1, df2=n₂-1).","If p < α, reject H₀ (conclude variances differ significantly); if p ≥ α, no evidence that variances differ (assume equal variability).","Black Belt (aware of it, though in practice Levene’s test is usually preferred for variance comparison).",Levene’s Test (non-parametric robust test for equality of variances).
Bartlett’s Test (Equal Variances),Parametric,"Proposed by M.S. Bartlett in 1937:contentReference[oaicite:30]{index=30}, it generalizes the two-sample variance F-test to k samples. It evaluates if multiple group variances are equal, but is highly sensitive to deviations from normality.",To test the hypothesis that the variances of several independent groups are equal (homogeneity of variance) – commonly used in conjunction with ANOVA assumptions.,Assumes each group is normally distributed and samples are independent. Non-normal data can cause Bartlett’s test to falsely indicate variance differences (hence alternatives are used if normality is doubtful).,Numeric continuous outcome in k independent groups.,Needs sufficient sample in each group (≥ 15-20 per group is helpful) because small samples might not detect variance differences and non-normality can distort results. Use only if normality roughly holds; otherwise prefer Levene/Brown-Forsythe tests.,Test statistic approximates χ² = (N-k)*ln(pooled variance) - Σ((n_i-1)*ln(s_i²)) (Bartlett’s M); under H₀ it follows a χ² distribution with df = k-1 (with a correction factor).,"If p < α, reject H₀ (at least one group’s variance differs significantly); if p ≥ α, no evidence against equal variances assumption.",Black Belt (understands it for theoretical completeness; in practice may opt for robust methods).,Levene’s Test (non-parametric alternative less sensitive to non-normality).
Levene’s Test (Equal Variances),Non-parametric,"Introduced by Howard Levene in 1960:contentReference[oaicite:31]{index=31}, it provides a robust test for equal variances across groups by analyzing absolute deviations. Less sensitive to non-normality than Bartlett’s, it became a standard variance homogeneity test (later refined by Brown & Forsythe in 1974).",To assess whether the variances of two or more groups are equal without assuming normal distributions (supports ANOVA assumption checking or general variability comparisons).,"Assumes samples are independent and roughly that groups have a similar shape distribution (Levene’s test using medians is especially robust to non-normal outliers). Does not require normality, making it applicable to a broad range of data distributions:contentReference[oaicite:32]{index=32}.",Numeric continuous data in two or more independent groups.,Works for moderate sample sizes (each group ideally n ≥ 5). More data improves power to detect variance differences. Very small group sizes may not detect differences; very large N can find trivial differences significant.,"Test statistic is essentially an ANOVA on transformed data: compute |X_{ij} - \\tilde{X}_j| (deviation from group median or mean), then an F statistic on these absolute deviations:contentReference[oaicite:33]{index=33}. Under H₀, F is not significant; if significant, variances differ.","If p < α, reject H₀ (at least one group variance is significantly different); if p ≥ α, variances can be treated as homogeneous.",Black Belt (commonly used in practice for checking equal variances assumption in ANOVA or comparing process variability).,Bartlett’s Test (parametric counterpart when normality holds):contentReference[oaicite:34]{index=34}.
Mann-Whitney U Test,Non-parametric,"Based on work by Frank Wilcoxon (1945) and extended by Henry Mann & Donald Whitney (1947):contentReference[oaicite:35]{index=35}:contentReference[oaicite:36]{index=36}, it is also known as the Wilcoxon rank-sum test. It compares the distributions of two independent groups using ranks.",To test if two independent samples come from populations with the same distribution/median. Often used as a substitute for the two-sample t-test when normality is not met or with ordinal data.,"Assumes samples are independent, data are at least ordinal. It specifically assumes the two distributions are similarly shaped under H₀ (tests for a shift in location). No assumption of normality; tolerant of outliers and skewed data.",Ordinal or continuous outcome in two independent groups.,"Can be used with small sample sizes (even n < 10 per group), though its p-value is discrete; for n > ~20 per group, the normal approximation is accurate:contentReference[oaicite:37]{index=37}:contentReference[oaicite:38]{index=38}. Generally, at least 5 observations per group are recommended for minimum reliability.",Test statistic U is the count of “wins” out of all pairwise comparisons between groups (or equivalently based on rank sums); for larger samples U is converted to a z-score using mean and variance of U:contentReference[oaicite:39]{index=39}:contentReference[oaicite:40]{index=40}.,"If p < α, reject H₀ (the two samples differ in central tendency; medians likely not equal); if p ≥ α, insufficient evidence of a difference between groups.",Black Belt (understands and applies non-parametric tests for two-group comparisons).,Two-Sample t-Test (parametric counterpart for means when assumptions are met):contentReference[oaicite:41]{index=41}.
Wilcoxon Signed-Rank Test,Non-parametric,"Introduced by Frank Wilcoxon in 1945:contentReference[oaicite:42]{index=42}, it is a non-parametric alternative to the paired t-test (or one-sample t-test) that uses rank sums of positive and negative differences. It extends the simpler sign test by accounting for magnitude of differences.","To test if the median of a symmetric distribution differs from a target value, or if the median difference in paired observations is zero (e.g. before vs after). Commonly used when the paired differences are not normally distributed.","Assumes differences come from a symmetric continuous distribution (for validity of using ranks around zero). Pairs (or one-sample data) are independent. It does not require normality, only that data can be ranked and differences roughly symmetric around the median.",Ordinal or continuous outcome in paired data (or a single sample versus a hypothesized median).,"Can handle small samples (n as low as 5 pairs), with exact p-values available. For n ≥ 10, approximate methods (normal approximation with continuity correction) can be used. As n grows large (>25), the test statistic’s distribution approaches normal by CLT on ranks.","Test statistic W is typically the sum of ranks of positive differences (or the smaller of positive vs negative rank sums). Under H₀ of zero median difference, W’s distribution is obtained from tables or approximated by a z-score.","If p < α, reject H₀ (significant evidence of a non-zero median or median difference); if p ≥ α, differences are not statistically significant.",Black Belt (often needed for non-parametric paired comparisons in non-normal scenarios).,Paired t-Test (parametric counterpart when differences are normally distributed):contentReference[oaicite:43]{index=43}.
Sign Test,Non-parametric,"One of the oldest non-parametric tests, used by John Arbuthnot as early as 1710:contentReference[oaicite:44]{index=44}, it uses the signs of differences to test medians without considering magnitudes. It's essentially a simple binomial test on the direction of change or position relative to a median.","To test if a population median equals a specified value or if one member of a pair tends to be greater than the other (in paired scenarios). For example, to see if median improvement is nonzero or if median of a sample differs from a target.","Assumes observations/pairs are independent. It does not assume any specific distribution for the data (only that the probability of an observation being above or below the hypothesized median is 50% under H₀). It ignores magnitude of differences, making it robust but less powerful than rank tests.",Ordinal or continuous data (for one-sample median test or paired comparisons expressed as plus/minus signs).,"Can be used with very small samples (even n < 10). The test is based on a binomial distribution with p=0.5; as n increases, normal approximation to binomial can be applied. With extremely small n, power is low but the test is still valid.","Test statistic is the count of positive differences (or “successes”) out of n (ignoring any ties). Under H₀, this count ~ Binomial(n, 0.5).","If p < α (e.g., two-tailed binomial probability of that extreme an imbalance), reject H₀ (median is significantly different from the hypothesized value or there is a consistent pairwise difference); if p ≥ α, no significant median difference found.","Black Belt (conceptually simple, but used as a fallback for very non-normal or ordinal data; seldom needed if Wilcoxon is applicable).","One-Sample t-Test (parametric test for mean, analogous when distribution assumptions hold):contentReference[oaicite:45]{index=45}."
Mood’s Median Test,Non-parametric,"Developed by Brown and Mood in 1948:contentReference[oaicite:46]{index=46} as a chi-square based test for medians, it determines if multiple samples have the same median by categorizing data relative to the overall median. It's less powerful than rank-based tests but very assumption-light.",To test whether the medians of two or more independent groups are identical. Useful as a simple alternative to one-way ANOVA when the normality assumption fails and one is interested specifically in medians.,"Assumes independent samples. Does not assume normality or even identical shapes of distributions – it only focuses on median differences. However, it requires that the data can be meaningfully ordered. It is insensitive to differences in distribution shape other than median shifts:contentReference[oaicite:47]{index=47}.",Ordinal or continuous data in two or more independent groups.,"Works for small or large sample sizes. Each group should ideally contribute several observations above and below the overall median for the chi-square approximation to hold (expected counts ≥ 5). For very small samples, exact calculations or other tests may be preferable.","Test statistic is based on a contingency table of counts: each observation is classified as above or below the grand median, and a Pearson χ² is computed (df = number of groups - 1):contentReference[oaicite:48]{index=48}.","If p < α, reject H₀ (at least one group median differs); if p ≥ α, cannot detect a difference in medians between groups.","Black Belt (for completeness; other tests like Kruskal-Wallis are usually preferred due to higher power, but Mood’s test is useful with severe outliers or non-identical variances).","One-Way ANOVA (parametric test on means; Kruskal-Wallis is another non-parametric counterpart that tests distribution location differences, not just medians):contentReference[oaicite:49]{index=49}."
Kruskal-Wallis H Test,Non-parametric,"Developed by William Kruskal and W. Allen Wallis in 1952:contentReference[oaicite:50]{index=50}, it extends the Mann-Whitney idea to k groups. It's effectively a one-way ANOVA on ranks, providing a distribution-free test for comparing multiple independent samples.",To determine if three or more independent samples come from the same distribution (specifically if their median or overall rank distributions are equal). Used in place of one-way ANOVA when normality or equal variance assumptions are violated.,"Assumes samples are independent and that the response is at least ordinal. It assumes the distributions have a similar shape under H₀ (so that differences are mainly in location). Does not require normality; moderately robust to outliers, but extremely differing distribution shapes can affect interpretation:contentReference[oaicite:51]{index=51}.","Ordinal or continuous data in k independent groups (k ≥ 3, though it can be used for k=2 as well, equivalent to Mann-Whitney).","Can handle small sample sizes in each group (e.g. n as low as 5 per group), but the chi-square approximation is best when total N is larger (say N ≥ 15). For very small samples, exact critical values can be used. Groups need not have equal size, though many ties across groups can reduce accuracy (a tie correction exists).","Test statistic H = (12/(N(N+1))) * Σ_{groups} [n_i*(\\bar{R}_i)^2] - 3(N+1), which follows approximately a χ² distribution with df = k-1 under H₀:contentReference[oaicite:52]{index=52}. (\\bar{R}_i is the average rank in group i.)","If p < α, reject H₀ (at least one group’s distribution differs – likely a median difference among groups). It doesn’t pinpoint which groups differ; post-hoc multiple comparison tests (e.g. Dunn’s test) are needed to identify pairwise differences.",Black Belt (commonly applied for non-parametric analysis of variance in analyze phase or non-normal DOE results).,One-Way ANOVA (parametric counterpart for comparing multiple means):contentReference[oaicite:53]{index=53}.
Friedman Test,Non-parametric,"Developed by Milton Friedman in the 1930s:contentReference[oaicite:54]{index=54} as a non-parametric alternative to repeated measures ANOVA, it analyzes block designs by ranking each block’s results. It’s essentially a two-way ANOVA on ranks (one factor being subjects/blocks, the other treatments).",To test if there are differences in treatments across multiple attempts/trials in a blocked or repeated measures scenario (e.g. comparing three or more treatments on the same subjects). It indicates if at least one treatment median is different.,"Assumes data consist of blocks (e.g. subjects) each measured under all k conditions. Only requirement is that within each block, the measurements can be ranked (ordinal or continuous). No normality needed. It assumes no interaction between blocks and treatments (i.e., treatment effects are consistent across blocks):contentReference[oaicite:55]{index=55}.",Ordinal or continuous outcome measured in a blocked manner (each of N blocks yields one observation for each of k treatments/conditions).,"Each block should have all treatments observed. Works with small sample sizes (even as few as 4 or 5 blocks), but if blocks are very few the test has low power. For larger block counts (n > 15 or so), the χ² approximation for the test statistic is reliable:contentReference[oaicite:56]{index=56}.","Test statistic Q = (12/(n*k*(k+1))) * Σ_{j}(R_j^2) - 3n(k+1), where R_j is the sum of ranks for treatment j within each block. Under H₀ of no treatment differences, Q ~ χ² with df = k-1 (for sufficiently large n). For small n, exact critical values should be used.","If p < α, reject H₀ (at least one treatment median is significantly different). A significant result indicates a treatment effect; follow-up with post-hoc pairwise comparisons (e.g. Nemenyi test) to determine which treatments differ:contentReference[oaicite:57]{index=57}:contentReference[oaicite:58]{index=58}.",Black Belt (especially relevant for non-parametric DOE or repeated measures in analyses).,Repeated Measures ANOVA (parametric counterpart when normality and sphericity hold):contentReference[oaicite:59]{index=59}.
McNemar’s Test,Non-parametric,"Introduced by Quinn McNemar in 1947 as a test for paired categorical data (2×2 table) changes. It examines the discordant pairs in before-after or matched case-control studies, using a simple chi-square statistic on the off-diagonal counts.:contentReference[oaicite:60]{index=60}","To test if there is a significant change in proportions for paired binary observations (e.g., success/failure before vs after for the same subjects, or yes/no responses from matched pairs). Specifically, H₀: the probability of success in state1 equals that in state2 for the population.","Assumes pairs are independent of each other. The data are arranged in a 2×2 contingency table of paired outcomes. It requires a reasonable number of discordant pairs; if very few discordant pairs, power is low (and an exact binomial test should be considered). No assumption of normality or large sample beyond needing some discordant counts.",Dichotomous (binary) outcome measured twice on the same subject or matched pair.,"Works even with moderate sample sizes. Ideally, expect at least ~10 discordant pairs for the chi-square approximation; if total pairs are small (say < 20), an exact McNemar’s (binomial) test can be used. For larger pair counts, the chi-square with continuity correction is often applied.","Test statistic χ² = (|b - c| - 1)² / (b + c), where b and c are the counts of discordant pairs (one type of outcome changed vs the other). Under H₀ (no difference in proportions), this approximately follows χ² with 1 df.","If p < α, reject H₀ (there is a significant change in proportions between the two paired measurements); if p ≥ α, no significant change is detected.",Black Belt (especially in improvement projects analyzing before/after binary metrics or paired categorical data).,N/A – there is no exact parametric counterpart (McNemar’s is the standard approach for paired categorical data; analogous in spirit to a paired t-test but for binary outcomes).
Tukey’s HSD Test,Parametric,"Proposed by John Tukey in 1949:contentReference[oaicite:61]{index=61}, it’s a post-hoc multiple comparison procedure following ANOVA. It uses the Studentized range (Q) distribution to maintain family-wise error rate when identifying which means differ. Often referred to as “Tukey’s Honestly Significant Difference.”",To pinpoint which specific group means differ after finding a significant one-way ANOVA result. It compares all possible pairs of group means to determine which differences are statistically significant.,"Assumes the ANOVA model assumptions: normality within groups, equal variances, independent observations. Also assumes a balanced or nearly balanced design for exact significance levels (though it can be used with unequal n with adjustments). Valid only after an overall ANOVA finds significance (controls Type I error across multiple comparisons).","Numeric continuous outcome, categorical factor with multiple levels (same data structure as ANOVA). Conducted only if ANOVA indicates at least one mean difference.","Each group ideally should have a reasonable sample size (e.g. ≥ 10). The test’s accuracy improves with equal or similar sample sizes. For very small groups, Tukey’s test may be conservative; large group sizes make detection easier. Typically applied after ANOVA with sufficient power (say total N > 20).",Test statistic for comparing group i and j: Q = (\\bar{x}_i - \\bar{x}_j)/√(MS_within/2 * (1/n_i + 1/n_j)). Q is evaluated against the Studentized range distribution for k means and error df. It yields a simultaneous confidence interval for each pair difference and a p-value for each comparison.,"Any pair with p < α (or whose confidence interval for mean difference excludes 0) is declared significantly different. Results are interpreted as which specific groups have significantly different means, while controlling the overall α for all pairs.","Black Belt (knowledge of DOE/ANOVA includes post-hoc analysis; software does computations, but Black Belts understand how to interpret Tukey’s results).","Dunn’s Test (non-parametric post-hoc for Kruskal-Wallis, comparing rank sums pairwise with adjusted p-values):contentReference[oaicite:62]{index=62}."
Dunn’s Multiple Comparison Test,Non-parametric,"Introduced by Olive Dunn in 1964, it is a post-hoc procedure for non-parametric analyses (like after a Kruskal-Wallis test). It performs pairwise rank comparisons between groups using a Bonferroni or similar correction to control family-wise error. Essentially a Tukey-type method for ranked data.",To identify which specific pairs of groups differ in a non-parametric setting (typically following a significant Kruskal-Wallis test). It tests all pairwise group differences in median/rank with adjusted significance to avoid inflating Type I error.,"Assumes an overall significant Kruskal-Wallis result (so at least one group differs). Uses the same assumptions as Kruskal-Wallis: independent samples, ordinal or continuous data. Requires that data in each pairwise comparison can be ranked combined. Dunn’s test handles unequal group sizes and adjusts p-values for multiple comparisons.",Ordinal or continuous outcome in multiple independent groups (post-hoc analysis after a global non-parametric test).,"Generally effective with moderate to large samples. For each pairwise comparison, the sample sizes of the two groups inform the variance of rank sum difference. Sufficient total N is needed since multiple comparisons reduce power; if groups are very small, results may be inconclusive. P-value adjustments (Bonferroni/Holm) demand a larger effect to reach significance.","Test statistic for comparing group i vs j: based on difference in average ranks between the two groups, normalized by the standard error of rank differences. Often reported as Z or adjusted p-values. P-values are corrected for the number of comparisons (e.g., Bonferroni divides α by number of pairs).","If an adjusted p < α for a specific pair, that pair’s medians differ significantly. Dunn’s test output typically lists which group pairs have significant differences after correction, while maintaining the overall error rate.",Black Belt (advanced analysis for non-parametric post-hoc comparisons when using rank-based tests).,Tukey’s HSD Test (parametric equivalent for pairwise comparisons after ANOVA):contentReference[oaicite:63]{index=63}.
