Method,Background,When to Use,Assumptions (if any),How to Interpret Results,Phase Usage (DMAIC),Skill Level (Yellow/Green/Black/Master),Framework
Jidoka (Autonomation),"“Automation with human intelligence.” A core pillar of TPS introduced by Sakichi Toyoda with the auto-stop loom in the 1900sleantransitionsolutions.com. Empowers machines or operators to detect anomalies and stop the process immediately, preventing defective productionleantransitionsolutions.comleantransitionsolutions.com. Often implemented via devices or error sensors and closely related to Andon signals.","Use in Improve phase to build quality into the process. Apply Jidoka whenever defects or equipment issues need to be caught in real-time. For example, after analysis shows frequent defects, implement auto-stop mechanisms or operator empowerment so that any abnormality triggers an immediate halt and fixleantransitionsolutions.comleantransitionsolutions.com.",Assumes stopping the process for quality issues is acceptable (requires a culture that prioritizes quality over short-term output). Also assumes that root causes will be investigated when stoppages occur (so the same issue doesn’t simply repeat).,"Interpret results by monitoring defect rates and machine downtime: With Jidoka, a short-term uptick in stops may occur, but long term defects per unit should drop since issues are addressed at the source. If Jidoka is effective, you’ll see higher first-pass yield and fewer cascading defects. Each stop’s cause should be analyzed; a decreasing trend in stop frequency or faster resolution indicates maturity.",Improve / Control,Black / MBB (designing systems with Jidoka is typically led by advanced practitioners or engineers; operators are trained to participate),Lean
Just-in-Time (JIT) Production,"A production and inventory strategy to make “only what is needed, when it is needed, and in the amount needed.” Another core pillar of TPS, JIT aims to eliminate excess inventory and aligns production tightly with actual demandease.ioleantransitionsolutions.com. Often enabled by Kanban systems.","Use in Improve phase when inventory, overproduction, or lead time is a problem. Implement JIT after analyzing demand patterns and process cycle times: produce in small lots on demand rather than large batches to reduce inventory wasteease.ioleantransitionsolutions.com. Common in manufacturing but also in services (e.g., just-in-time scheduling).","Assumes reasonably steady demand or flexible production that can adapt quickly to changes. Also assumes reliable suppliers and processes (since minimal buffers exist). Requires strong coordination – if anything breaks down, stockouts can occur.","Interpret by inventory turnover and lead time metrics. A successful JIT implementation shows lower inventory levels (raw, WIP, finished) without stockouts, and often shorter lead times to customersease.ioleantransitionsolutions.com. If you track inventory days on hand, it should decrease. Also monitor if any increase in missed orders or downtime occurs (if so, JIT may be too tight or needs better reliability).",Improve / Control,Black / MBB (designing JIT systems and supply chains is advanced; execution involves all levels),Lean
Kaizen (Continuous Improvement),A philosophy and practice of ongoing incremental improvements (“change for the better”). Originated in Japan post-WWII (Masaaki Imai popularized it internationally). Kaizen involves every employee in suggesting and implementing small improvements regularlyease.ioleantransitionsolutions.com. Also takes form as Kaizen Events (focused 3-5 day improvement workshops on a specific issue).,"Use Kaizen as a daily mindset in all phases – small fixes in Control to prevent backsliding, or during Improve via rapid improvement events. It’s best when you seek quick wins or when frontline engagement is needed to solve local problems. Kaizen events are useful when a process needs a fast turnaround of improvements in a week or less, traversing a mini-DMAIC cycleasq.orgease.io.","Assumes a culture where employees are empowered and motivated to contribute ideas. Requires management’s openness to implement suggestions. Small changes assume low risk in implementation (if very risky, might need full DMAIC).","Interpret results by cumulative impact: while each Kaizen may yield modest gains (e.g. a few seconds off a cycle, reduced scrap in one step), over time these should compound into significant performance improvement6sigma.usease.io. Track metrics like productivity, quality, cost or safety before vs. after each Kaizen. Quick “Kaizen event” results are interpreted via immediate before/after measurements (e.g., process time reduced by 20% in a 3-day blitz). The ultimate indicator is a sustained improvement culture (e.g. number of ideas implemented and overall trend in key performance metrics improving)leantransitionsolutions.comleantransitionsolutions.com.",Improve / Control (also part of daily management),Yellow / Green / Black (all levels participate; Green/Black facilitate Kaizen events),Lean
Kanban (Pull System),"A scheduling system developed by Toyota using signal cards (“kanban” = card) to implement pull production. Each Kanban card triggers production or replenishment for a small batch, ensuring nothing is made or moved until neededleantransitionsolutions.com. Reduces overproduction and inventory by tightly controlling workflow.","Use in Improve phase to convert a push system into pull. Whenever you see overproduction or high inventory, a Kanban system can be introduced to control WIP. Kanban is suited for repetitive processes with manageable variety – apply it to stock replenishment, manufacturing lines, or even agile task boards, to signal when to produce or move itemsleantransitionsolutions.comleantransitionsolutions.com.","Assumes demand-driven production: requires reasonably stable consumption rates or fast adjustment to signals. Also assumes process can be stopped or started easily based on signals (needs discipline to only produce to kanban, not to forecast).","Interpret results by WIP and stockout rates. A properly functioning Kanban system shows lower inventory and WIP without increasing stockouts or delaysleantransitionsolutions.com. Monitor if inventory levels drop to the kanban limits and stay there, and lead time decreases. If Kanban cards circulate smoothly (no piles of cards waiting or missing), and customer demand is met just-in-time with minimal surplus, the pull system is working. Any accumulation of extra WIP or frequent empty shelves signals need to adjust kanban quantities or addresses bottlenecks.",Improve / Control,Green / Black (initial design by Green/Black; daily use by all operators),Lean
PDCA Cycle (Plan-Do-Check-Act),"The iterative improvement cycle championed by Dr. W. Edwards Deming (also called PDSA – Plan-Do-Study-Act). It predates DMAIC and is core to Lean’s continuous improvement approachleantransitionsolutions.comleantransitionsolutions.com. Teams plan a change, implement it, check results, and act on learnings (adopt or adjust), then repeat.","Use PDCA for smaller-scale improvements or within DMAIC’s Improve/Control for rapid iteration. It’s appropriate when you want to pilot a solution on a small scale before full rollout (Plan and Do = pilot, Check = evaluate pilot, Act = standardize or iterate)leantransitionsolutions.com6sigma.us. Also used as a general problem-solving approach in daily operations outside of formal DMAIC projects.","Assumes the problem and solution can be incrementally refined. Requires that changes can be reversed or adjusted if Check shows undesired results (hence start small). No quantitative assumptions, but relies on measurements in the Check step to judge success.","Interpret results at the “Check” stage: compare metrics against the plan. If the test change achieved the desired result (e.g. defect rate dropped, cycle time improved), then Act by standardizing the solution. If not, decide whether to tweak and cycle again. Over multiple PDCA cycles, expect to see trend improvements in the targeted metric. PDCA is successful when each iteration brings the process closer to the goal or yields new insights (even if a cycle “fails,” it should inform the next plan)leantransitionsolutions.com6sigma.us. In Control phase, PDCA might manifest as ongoing continuous improvement audits and adjustments, ensuring processes don’t stagnate.",Improve / Control,Yellow / Green / Black (all practitioners use PDCA thinking; Black/MBB foster its use organization-wide),Lean
PICK Chart,A Lean prioritization matrix used to evaluate ideas based on their impact and ease of implementation.,During solution brainstorming or improvement planning to select the most effective actions.,Participants can subjectively assess impact and ease of implementation.,"Classify ideas as Possible, Implement, Challenge, or Kill to guide action.",Improve,Yellow/Green,Lean
Poka-Yoke (Error Proofing),"Invented by Shigeo Shingo at Toyota (“poka-yoke” means “mistake-proofing”). It’s a design or device that prevents errors or makes them immediately detectable, thereby reducing defectsease.ioleantransitionsolutions.com. Examples: fixtures that only allow correct assembly, sensors that detect anomalies and stop the process, checklists for critical tasks.","Use in Improve phase whenever human error or inadvertent mistakes cause defects. After root cause analysis identifies an error-prone step, implement a poka-yoke to either prevent the error or alert the operator if it happensease.ioleantransitionsolutions.com. Ideal in manufacturing assembly, data entry, healthcare (to prevent mix-ups), etc., especially for high-risk mistakes.","Assumes that the error modes are known and can be designed out or caught by simple mechanisms. (For example, assumes a sensor can detect the specific error condition). Also assumes people will use the poka-yoke device consistently (needs good integration into workflow).","Interpret results via defect rates and near-miss incidents. A successful poka-yoke should lead to immediate reduction in the targeted error typeease.io. For instance, if a sensor-based poka-yoke is added, any occurrence of that error triggers an immediate stop – you’d measure effectiveness by seeing a drop to near-zero in defects escaping that station. If using “before vs after” FMEA, the Occurrence rating or overall RPN for that failure mode should decrease. Continual tracking ensures the error has truly been eliminated or at least caught every time (detection).",Improve / Control,Green / Black (concept is simple enough for Green; Black or engineers often design technical poka-yoke solutions),Lean
SMED (Single-Minute Exchange of Die),"A Lean technique pioneered by Shingo to reduce equipment changeover time to under 10 minutes (“single-minute”). Involves converting internal setup steps to external (performable while machine runs), streamlining and standardizing remaining steps, and eliminating non-essential operationsease.ioease.io. SMED enables quick changeovers, facilitating small batch production.","Use in Improve when long setup times are causing downtime, large batch production, or scheduling inflexibility. Particularly useful in manufacturing environments with frequent product changeovers or in any process where a “setup” or transition causes delays. Apply SMED to enable JIT and continuous flow by allowing more frequent changeovers without productivity lossease.ioease.io.","Assumes process steps can be separated into external vs internal elements (requires analysis of the changeover procedure). Also assumes some investment or creative reorganization can prepare things in advance. Culturally, it assumes operators will follow the new standardized quick-change process each time.","Interpret results with changeover time metrics and production flexibility. After SMED, measure the time from last good part of previous run to first good part of next run – it should dramatically decrease (e.g. from hours to minutes)ease.ioease.io. Also interpret by the impact on lot size and scheduling: smaller lot sizes should be feasible, inventory between product runs should drop, and responsiveness to demand changes improves. If the process can switch products more frequently without loss of output, SMED has succeeded.",Improve,Black (often industrial engineers or Black Belts lead SMED initiatives; operators are trained in new procedures),Lean
Takt Time,“Takt” is German for baton or rhythm. It represents the available production time divided by customer demand to pace production at customer demand rateease.ioleantransitionsolutions.com. Takt time is a Lean calculation ensuring that products are completed at a rate that meets demand without overproduction. It’s a foundational concept for line balancing and continuous flow.,"Use in Measure/Analyze when designing or evaluating a production process. Calculate takt time to understand required pace (e.g., if 480 minutes shift / 240 units demand = 2 min/unit takt). Then use it in Improve phase to balance operations or cells so each step can meet or slightly beat takt. It’s especially useful in manufacturing line design and in service takt (customer throughput requirements)ease.ioleantransitionsolutions.com.","Assumes demand rate is known and reasonably stable over the planning horizon (adjust takt if demand changes). Also assumes the process can be adjusted (headcount, work content) to match takt. Essentially, it relies on consistent availability of capacity (breaks, downtime need to be accounted for).","Interpret by comparing actual cycle times to takt. If each process step’s cycle time ≤ takt time, the line can meet demand (balance achieved). Monitor if any station exceeds takt – that’s where a bottleneck will form. In Control phase, continue to compare output rate to demand rate: if output falls behind takt over time, it signals issues (like downtime or inefficiency). Meeting takt consistently means the process is synchronized with demand – a key goal of Leanleantransitionsolutions.comleantransitionsolutions.com.",Measure / Analyze (to calculate and identify gaps); Improve (to implement balanced pacing),"Green / Black (calculation is straightforward, taught at Green level; full line balancing often led by Black)",Lean
Total Productive Maintenance (TPM),"A holistic approach to equipment maintenance involving everyone (operators, maintenance, engineers) to maximize machine uptime. Developed from 1970s in Japan, TPM has pillars like Autonomous Maintenance, Preventive Maintenance, Kaizen, etc.ease.ioease.io. The aim is zero unplanned downtime, zero defects, and zero accidents.","Use in Control phase to sustain improvements through high equipment reliability. Particularly in processes where machine downtime causes defects or delays – implementing TPM (operator basic maintenance routines, scheduled preventive maintenance, quick maintenance response) is crucial after improvements. TPM is an ongoing program rather than a one-time tool; it’s deployed plant-wide to support Lean flow and Six Sigma quality by keeping equipment in optimal conditionease.ioease.io.","Assumes cross-functional participation – operators take on basic maintenance tasks and report issues, maintenance teams collaborate proactively. Requires a culture where maintenance is a shared responsibility and not neglected under production pressure. No statistical assumption, but it assumes that systematic care can largely prevent breakdowns (which generally holds true).","Interpret by OEE (Overall Equipment Effectiveness) and downtime metrics. TPM success is seen in improved OEE – which combines availability, performance, and quality ratesease.ioease.io. For example, track unplanned downtime hours per week or mean time between failures; these should improve. Also look at maintenance metrics like schedule compliance (PMs done on time) and autonomous maintenance audit scores. If breakdowns decrease and minor stops/issues are addressed by operators before escalating, TPM is effective. OEE trending upward towards the benchmark (e.g. world-class ~85%+) is a key indicatorease.ioease.io.",Control (sustainment),Green / Black (TPM programs often led by Blacks or maintenance engineers; basic TPM tasks are executed by operators - Yellow-level awareness),Lean
Value Stream Mapping (VSM),"A visual mapping method to document the end-to-end process flow (material and information) for a product/service, including process times, wait times, inventory, and information flowsasq.org. It originated from Lean manufacturing (Toyota) to identify waste and design a leaner future stateasq.org. The map typically shows current state vs. future state after improvements.","Use in Define/Measure to grasp the entire process and highlight waste (especially waiting, inventory). VSM is ideal when tackling process-wide improvements that span multiple departments. It’s often one of the first steps in a Lean Six Sigma project to visualize where value is added vs. lost. After drawing a current state, use it in Analyze to pinpoint delays or excess and brainstorm a leaner future state map for Improveasq.orgleantransitionsolutions.com.","Assumes the process can be depicted in a relatively linear flow from supplier to customer (works best for manufacturing or structured service flows). Requires cross-functional collaboration to gather data on each step (cycle time, uptime, inventory, etc.). Also assumes a relatively repetitive process (VSM is less useful for highly divergent processes). No strict quantitative assumptions beyond data collection accuracy.","Interpret the map by looking at metrics like total lead time vs. value-added time, inventory between steps, and information delays. In the current state, these metrics reveal the biggest waste areas (e.g., an 80% of lead time is waiting). The future state VSM sets targets (e.g., cut lead time by 50%, reduce handoffs). Success is interpreted by comparing future vs current: shorter lead time, lower WIP, fewer steps or handoffs indicate improvementleantransitionsolutions.comasq.org. For example, if current lead time is 10 days with 8 days waiting, and after improvements lead time is 4 days with minimal waiting, the VSM-guided changes are validated. Phase-by-phase, the VSM is revisited in Control to ensure the future state is being followed and further kaizen opportunities are noted.",Define / Measure (current state mapping); Analyze (identify waste); Improve (design future state),Green / Black (Green Belts often create VSMs; Black Belts for more complex value streams or to facilitate multi-department mapping),Lean
5 Whys (Root Cause Questioning),"A simple but powerful technique, originally part of Toyota’s root cause analysis approach. It involves asking “Why?” iteratively (about five times, though not a fixed rule) to drill down from a problem symptom to its underlying root causesixsigmacouncil.orgsixsigmacouncil.org. Often used in conjunction with fishbone diagrams or after identifying a particular problem area.","Use in Analyze when a problem’s cause is not immediately clear. It’s especially helpful for relatively straightforward problems where human insight can reveal the cause-and-effect chain (e.g., “Machine stopped” – Why? – “Motor failed” – Why? – “Overheated due to no coolant” – Why? – “Routine maintenance missed” – etc.). Also effective on the fly in Gemba walks or incident investigations. Team-based 5-Why sessions help get beyond blame to process factors.","Assumes that each problem has an underlying cause that can be found by sequential inquiry, and that people have knowledge of the process to answer meaningfully. It also assumes a single-chain linear logic – one cause leads to another (in reality, there may be multiple causes requiring multiple branches or iterations). No quantitative data needed, just logical consistency.","Interpret the output as the suspected root cause. The “result” of 5 Whys is typically a statement at the final Why that points to a process deficiency (often a human error or oversight, but rooted in system cause). For example, the final answer might be “Because the maintenance schedule was not followed due to lack of training.” This indicates the root cause to address is training on maintenance scheduling. The success of 5 Whys is confirmed if addressing that root cause prevents recurrence of the problem. If problems persist, it may indicate the 5-Why analysis didn’t go deep enough or missed a branch cause. Essentially, you interpret a completed 5 Why by testing whether the last “why” is actionable and systemic (if it sounds like a special one-time excuse, you likely didn’t hit root cause). In Control, absence of the problem’s recurrence is the ultimate confirmation that the true root cause was identified and fixed.",Analyze,"Yellow / Green (technique is intuitive enough for Yellow Belt; Green Belts frequently use it; Black Belts ensure it’s done thoroughly, especially for complex issues)",Six Sigma
Brainstorming & Affinity Diagram,Brainstorming is an idea-generation technique (often unstructured idea shouting or structured rounds) used throughout DMAIC when creative solutions or causes are neededicfq.orgicfq.org. An Affinity Diagram is a tool to organize a large set of ideas into logical groupings/themes by similarityicfq.org. Affinity diagrams were developed as part of the “7 Management and Planning Tools” and are used after brainstorming to make sense of many ideas (often silently grouping post-it notes of ideas by categories that emerge).,"Use brainstorming in Define (to identify potential projects or customer needs), in Analyze (to hypothesize causes for a fishbone, for example), and especially in Improve (to generate solution ideas). It’s useful whenever you need a breadth of input from team members or SMEs without immediate judgment. After a brainstorming session yields dozens of ideas (for causes or solutions), use an affinity diagram to sort and find patterns, typically in Analyze (for cause categories) or Improve (to consolidate similar solution ideas). Affinity is also used in VOC analysis to group verbatim comments into themes.","Assumes a group of people with knowledge or creativity relevant to the topic. Brainstorming assumes a non-judgmental environment where wild ideas are welcome (no filtering initially). Affinity diagram assumes that among many ideas, natural groupings exist – it may assume some level of subjectivity as people see patterns, but typically groups become evident to most, which validates the themes. No quantitative assumptions; these are qualitative tools.","Interpret brainstorming results by the quantity and variety of ideas – a successful session is indicated by a broad list of options or hypotheses. The ideas themselves are inputs for further analysis (not all will be used). With affinity grouping, interpret the clusters that form: these suggest key themes or common root causes. For example, if 30 ideas for “why delays happen” group into 5 clusters like “IT system issues,” “Training gaps,” etc., you interpret that these are major areas to address. The affinity diagram often results in labeled groups – those labels can become categories for further analysis or action workstreams. Ultimately, the result is a clearer picture of the problem or solution space. Success is when the team feels the mass of brainstormed ideas has been distilled into a few insightful categories or concepts that can be taken forward (like major cause areas to verify, or top solution themes to develop). In Control, you might not use these much, except perhaps to brainstorm control measures or response plans if something goes wrong.",Define / Analyze / Improve (brainstorming is broad use; affinity mainly Analyze/Improve),Yellow / Green (all team members participate in brainstorming; Green Belt should know how to facilitate basic sessions and affinity sorting; Black Belts might facilitate for complex or cross-functional groups),Six Sigma
Check Sheet (Tally Sheet),"One of the seven basic quality tools, a check sheet is a structured form for collecting data in real time at the location of occurrenceasq.org. Often used to tally frequencies or patterns of events (e.g., types of defects, occurrence by time, etc.). It can be generic or specifically designed for the process. Also called a tally sheet or defect concentration diagram when used to mark defect locations on a picture.","Use in Measure phase to gather baseline data manually. Whenever data collection is primarily manual or observational (e.g., counting defect types, causes, or occurrences of an event), a check sheet is idealasq.org. It ensures consistency in data gathering – for example, an operator can check off defect categories each time one is found, or record occurrences by hour or location. Also used in Control to continue monitoring critical incidents (simple, low-tech monitoring).","Assumes the data can be collected by the same person or method repeatedly for consistencyasq.org. It also assumes that by designing the form well, you minimize ambiguity (operational definitions must be clear so every checker marks data the same way). No statistical assumptions – it’s a data gathering aid.","Interpret results by tallying up the check marks to spot patterns. For example, a completed check sheet might reveal which defect is most frequent or which hours of the day have more interruptionsasq.org. Often the check sheet data is then turned into a histogram or Pareto chart for further interpretationasq.org. The success of a check sheet is reflected in reliable data: if the data collected is credible (distinguishes between assumptions and actual factsehsinsight.com) and reveals a clear pattern (e.g., 40% of defects of type A, occurring mostly in Machine 2), it has done its job. In practice, you interpret by looking at the tallies for the largest counts or any notable trends, then use that insight for root cause analysis or tracking improvements.",Measure (data collection),Yellow / Green (it’s a fundamental tool taught early; typically used by Green Belts or process owners to gather data),Six Sigma
